"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2016",10,"Switzerland","euroValue",5658
"Milk And Milk Products","Fresh milk","2016",10,"Switzerland","tons",1.774
"Milk And Milk Products","Fresh milk","2016",11,"Switzerland","euroValue",8109
"Milk And Milk Products","Fresh milk","2016",11,"Switzerland","tons",3.965
"Milk And Milk Products","Fresh milk","2016",12,"Switzerland","euroValue",8876
"Milk And Milk Products","Fresh milk","2016",12,"Switzerland","tons",2.945
"Milk And Milk Products","Fresh milk","2017",1,"Switzerland","euroValue",5080
"Milk And Milk Products","Fresh milk","2017",1,"Switzerland","tons",1.957
"Milk And Milk Products","Fresh milk","2017",2,"Switzerland","euroValue",7215
"Milk And Milk Products","Fresh milk","2017",2,"Switzerland","tons",2.473
"Milk And Milk Products","Fresh milk","2017",3,"Switzerland","euroValue",7800
"Milk And Milk Products","Fresh milk","2017",3,"Switzerland","tons",2.46
"Milk And Milk Products","Fresh milk","2017",4,"Switzerland","euroValue",4050
"Milk And Milk Products","Fresh milk","2017",4,"Switzerland","tons",1.895
"Milk And Milk Products","Fresh milk","2017",5,"Switzerland","euroValue",5111
"Milk And Milk Products","Fresh milk","2017",5,"Switzerland","tons",1.906
"Milk And Milk Products","Fresh milk","2017",6,"Switzerland","euroValue",6535
"Milk And Milk Products","Fresh milk","2017",6,"Switzerland","tons",2.213
"Milk And Milk Products","Fresh milk","2017",7,"Switzerland","euroValue",7871
"Milk And Milk Products","Fresh milk","2017",7,"Switzerland","tons",2.619
"Milk And Milk Products","Fresh milk","2017",8,"Switzerland","euroValue",5713
"Milk And Milk Products","Fresh milk","2017",8,"Switzerland","tons",1.943
"Milk And Milk Products","Fresh milk","2017",9,"Switzerland","euroValue",4739
"Milk And Milk Products","Fresh milk","2017",9,"Switzerland","tons",1.936
"Milk And Milk Products","Fresh milk","2017",10,"Switzerland","euroValue",9717
"Milk And Milk Products","Fresh milk","2017",10,"Switzerland","tons",3.788
"Milk And Milk Products","Fresh milk","2017",11,"Switzerland","euroValue",6229
"Milk And Milk Products","Fresh milk","2017",11,"Switzerland","tons",2.154
"Milk And Milk Products","Fresh milk","2017",12,"Switzerland","euroValue",6007
"Milk And Milk Products","Fresh milk","2017",12,"Switzerland","tons",2.57
"Milk And Milk Products","Fresh milk","2018",1,"Switzerland","euroValue",8124
"Milk And Milk Products","Fresh milk","2018",1,"Switzerland","tons",2.101
"Milk And Milk Products","Fresh milk","2018",2,"Switzerland","euroValue",9889
"Milk And Milk Products","Fresh milk","2018",2,"Switzerland","tons",3.199
"Milk And Milk Products","Fresh milk","2018",3,"Switzerland","euroValue",6672
"Milk And Milk Products","Fresh milk","2018",3,"Switzerland","tons",3.537
"Milk And Milk Products","Fresh milk","2018",4,"Switzerland","euroValue",5306
"Milk And Milk Products","Fresh milk","2018",4,"Switzerland","tons",3.006
"Milk And Milk Products","Fresh milk","2018",5,"Switzerland","euroValue",6753
"Milk And Milk Products","Fresh milk","2018",5,"Switzerland","tons",3.06
"Milk And Milk Products","Fresh milk","2018",6,"Switzerland","euroValue",6009
"Milk And Milk Products","Fresh milk","2018",6,"Switzerland","tons",3.079
"Milk And Milk Products","Fresh milk","2018",7,"Switzerland","euroValue",6909
"Milk And Milk Products","Fresh milk","2018",7,"Switzerland","tons",2.868
"Milk And Milk Products","Fresh milk","2018",8,"Switzerland","euroValue",5817
"Milk And Milk Products","Fresh milk","2018",8,"Switzerland","tons",2.722
"Milk And Milk Products","Fresh milk","2018",9,"Switzerland","euroValue",4687
"Milk And Milk Products","Fresh milk","2018",9,"Switzerland","tons",1.496
"Milk And Milk Products","Fresh milk","2018",10,"Switzerland","euroValue",9694
"Milk And Milk Products","Fresh milk","2018",10,"Switzerland","tons",2.957
"Milk And Milk Products","Fresh milk","2018",11,"Switzerland","euroValue",22970
"Milk And Milk Products","Fresh milk","2018",11,"Switzerland","tons",3.678
"Milk And Milk Products","Fresh milk","2018",12,"Switzerland","euroValue",3458
"Milk And Milk Products","Fresh milk","2018",12,"Switzerland","tons",2.021
"Milk And Milk Products","Fresh milk","2019",1,"Switzerland","euroValue",2779
